小米SU7 #小米su7 #小米汽车
多大能力选多少钱的车，在合适的范围内买自己喜欢的款式也是人家的自由，保时捷都没说话你破防啥，看不惯你每个人都送一台保时捷让时间变成你喜欢的样子 6023733895 灼灼其华Wmf 广东
你就说一个办贷款的，看不起谁呀 1736832280697668 桃不言0625 广东
你怎么不去喷比亚迪？ 1157101301532751 鹿鸣西谷 广东
不怕被打死呲牙 61909067896 love金色年华2023 四川
那他得先看看能不能打得过我啊抠鼻 899851822305907 壹张creditcard 重庆
十三郎说我是圈里最贵的，雷布斯说论流量你们都是弟弟！看样子价格没谈拢。隐隐约约能看出来有一点怨气[捂脸] 100231948854 吴氏生非AAA 四川
明显 3651807817 型男Grubby 四川
给了，但估计跟别的车评人差不多或者一样，没拉开差距狗头，肯定不爽捂脸 93683900076 恒星指引 甘肃
800捂脸 606527718429452 二十四 陕西
明明su7做的那么完美。还是有一些喷子故意去诋毁，真是无语了！ 43573921453982 欢快明月 湖北
完美肯定谈不上，确实有一定吸引力 1679701078973511 这届网友太差劲 广东
这人这次很主观动不动保时捷奔驰20万的车更50万以上的比我想静静我想静静 5844578255 小时候我可萌了z 新疆
有些你的观点，太生硬 5927567180 油条土豆 江苏
看钱说话而已 2941916363631726 小杰滚雪球 陕西
我也想说，轮毂、按键、启动电源键、生态的实用性这些观点个人性太强了，360个人360个看法 3443276784339981 Mr达西先生 云南
这评价就是带着自己主观意识去的！千万别说自己很客观！嘲讽无意识 62731734706 GDunparalleled 新疆
钱没给，他的死对头老同事去给了800，我震开玩笑呢，钱给到位老头乐都能给你吹成法拉利 102896191563 吃喝壮 甘肃
省流版：小米这车啊，你知晓一下就OK了～ 96422324858 上清寺汤姆 四川
一针见血 51057199959 sunshineYT 山东
你为什么比闫闯和初小敏发布晚8分钟 5363422280 云雾人生123 北京
无所吊谓狗头 6101313836 独一无二的阿牛哥 山东
全是29号早上统一发的，刷到好几个测评了 4349304711160189 俊俏冰淇淋Vn 山东
它确定了一件事之后发的：直到上市，都没给它充值。💰 2731621007762333 我说的是蒸的 上海
他在等小米公关部上班看 55303535493 陌颜Vip 湖北
能讲一下16.8亿种驾驶模式吗 74425523946 啊嘻嘻嘻嘻嘻 江苏
应该让雷总发布会一个个讲灵光一闪 66425454230 我已无言以对 广东
关于座椅侧部支撑，奔驰G500价格多少？小米Su7价格多少？这样对比就有点不地道了 82987598675 流光易彩 广东
人家小米这车对标保时捷的怎么这里又说不地道了 51734443744 binfan2 浙江
隔音不好叫奔放运动。[呲牙] 87770056543 好先生一二一 四川
我从来不喜欢电车的都有冲动买。这就是小米的成功之处。 592011473199402 心晴 辽宁
车评人还是要吃饭的，能点出来就算不错了狗头狗头狗头 6457030661 狂拽炫酷x炸天 四川
这次怎么评的风格不一样了，有点奇怪了[捂脸] 110808576492 Jz詹 广东
没充钱？捂脸 1710490679513566 优美喜鹊qu 辽宁
支付宝没到账 1605743385263960 幽默熊猫FA 江苏
小米昨天上市 上午提车 下午进休理厂[破涕为笑] 3249760456942476 积极的辰星zet 贵州
[捂脸] 8448042804 回忆与我都不爱说话 贵州
捂脸 2735220586723454 不浪费孤独 浙江
为了有而有，小米还是习惯弄一大堆花里胡哨没用的。不如把车本身的体验做好。 64460319752 阿宾无疼咯 河南
因为本身核心的东西没有多少只能讲讲小创新小优化 3713560912 瞌睡的桃 海南
捂脸 64460319752 阿宾无疼咯 河南
你体验了？你怎么知道不好？ 59403877358 WLAN38 山东
现在都是靠嘴就能测评的么，自己没试驾就已经定义没用，体验不好了… 86310260258 小基🐤 北京
他个攒手机的，你还能让他怎么办捂脸 567786125929368 我爱扭柴纹 北京
说的跟你买了台开了几年一样 3782072539 家有八猫 河南
质感和隔音特别奔放……用词这么阴阳的吗？雷总肯定是没充值，有点不上道了啊[看] 51047571072 龙莫言001 广东
过几天各种测评都会上线，是否充值不急于下结论。 5907057026 充满元气的游侠 河南
实话实说才是一个车评人应该做的[赞][赞][赞] 108849265135 分秒必争星辰ScL 江西
真好看 3500441276004620 苏易雲 江苏
这车无论看多少次，都喜欢，真的非常喜欢 3931460820013624 雪花漫漫 四川
有着长续航的新能源小米SU7，就是一大优点，而且价格还合理，支持小米赞 104799397790 夏夏 天津
他震哥对车的认知，应该比蔚小小李好太多。震哥要造车，我觉得会更牛掰 2023567502613819 Sky 江苏
只要这些车评人说出来的话，是中肯的话，那这个车就是一般般的 6017055066 先知先觉健康者 海南
太为小米汽车高兴呐，27分钟突破5万台。[赞] 3035077055361943 大叔小明 江苏
小米汽车颜值高，性能好，空间大，很喜欢 1082349096542919 心想事橙A 广东
小米SU7其实在各种设计方面已经算顶流了，再加上性能好配置高，已经在新能源汽车排列前位了，真的是很不错的 2738254229288265 倾夏cc 福建
这车加速没有发动机怒吼的声浪，感觉缺了点啥 63304310403 鞍山友缘 辽宁
有模拟声浪 50443159871 腻歪128082103 上海
这个颜色回头率高真是帅气内置宽敞外观设计感打造完美[赞][赞][赞] 2889990279269517 幸运草悄然萌芽 内蒙古
小米智能生态汽车，续航持久，配置高，外观帅气[比心] 3003491106686604 可人南丁 福建
在小米的外观实在是回头率高，非常的好看，品质也好 4054651432614163 沐雪 江西
你从哪知道的品质好，都没上路呢，还品质好。你给保时捷停一起卧槽也不知道谁会尴尬了 6734165714 薄学庆 河南
有一个功能雷总可以考虑，车一停到自家车位，家里边小爱音箱就提醒，然后老王有充裕的时间打扫战场撤退。 62260506710 燃烧的高 北京
看来你家老王不少 5667799127 仲神之王 江苏
没有无脑吹，至少保持了一个车评人的基本素质。 5964460877 终极幻想家啊 福建
这次没给够啊 3610434001441028 来自外太空55 河南
不管怎么说，我就是喜欢小米品牌蓝色的汽车，太爱了。 3580487643700013 米兰 安徽
小米汽车颜值高端上档，质量杠杠的 1082349096542919 心想事橙A 广东
小米汽车外形霸气，科技感满满，小米加油 197556289935699 海底世界Y 广东
虽然我也不喜欢这车，但这个…未免有点一脸嫌弃的感觉了[捂脸] 53671562135 古迪拿 广东
有不同的声音，很好，每个人都有自己的喜好，他也有自己的dream car，显然30万不到的小米SU7不是。我喜欢SU7，我没有买，因为目前还没有换车计划。 5879413772 来自湖北生活在上海 浙江
小米汽车颜值高，配置和性能都很高级，价格很合理，值得拥有 4266570887215175 多才诗意微风 北京
总结！总体是好的，没有特别好的优点！这个价格以内算好的啦！就看后续的消费者口碑和小问题多不多了！ 111632353086 l涅槃l 云南
对不起 我选银河E8 3714472743 MH14K 广东
雷子也太不懂事了，只给800块，你看明显带有情绪啊 104689316686 海狗养殖厂厂长 云南
请问这车和银河E8… 3508788214 我姓安是个胖子 陕西
出个混动，考虑下 95929163611 MrD742 山东
震哥没造车可惜了了 2023567502613819 Sky 江苏
对对对忠诚度是检验销量的唯一标准 294289535147736 多才精灵d0 内蒙古
后视镜修的时候不便宜吧 3434529242495908 压死骆驼的小草 山东
小米牛逼，发明了汽车工业[呲牙] 77667929207 牛马般的走卒 江苏
人车合一，我心澎湃！为小米汽车点赞！[赞] 11655749810 我心飞扬it 新疆
真不专业，2.78的加速，底盘不紧绷这车怎么开 382274052037724 用户4048635111759 北京
买小米汽车的不一定都有小米手机，所以汽车与小爱的互动也是有必要吧 105132915188 简婆婆1 广东
知道为什么出这么晚吗[捂脸] 59979987229 人要比车凶 上海
陈震他不懂车，至少不懂电车，如果雷总把价格定到89.99W的话他就不会那么说了。 67770605035 缘起圆落 湖南
看那个尾翼我就笑了[捂脸][捂脸][捂脸] 3146839433 66阿昌 陕西
这个款式颜色增高端大气，太喜欢了。好好看，小米车就是棒 1348482176136672 清桃叶 江西
今天去试驾了max版本，感觉还挺棒的尤其是s+模式相当拉风，试了85km紧急变道抓地力还是很稳的。内饰外观啥的震哥基本都介绍了，质感个人感觉挺不错，非要像豪华靠边那是不现实的毕竟三十万跟一二百万还是有差距的。震哥有几点没说到，全系没有座椅按摩，当然这个没有也可以；还有个安全带预紧也没有，说实话这个非常有必要尤其是开车打瞌睡被检测摄像发现的时候可以不停的勒你，这个没有倒是挺遗憾的。总结一句话就是，行驶质感非常棒，内饰稍显高级，外观十分拉风，反正我都定了这你受得了吗[呲牙]。 63447267325 A不抽火哪来的烟 河南
整体的噪音此较运动[我想静静] 81474679411 直率的老邱 广东
只能说现在电车都能做出来的互联功能、自动驾驶功能，su7都可以。没有小米公司应该具有的科技惊喜。 380892289449328 正直伊莱沙0G8d 江苏
都是些个性化的主观意见 2234629408162062 钟山20210524 北京
想踩又不好下手，拿G500比。还是太看的起小米了，毕竟只要二十多万 56855333307 高木木木 湖南
感觉不如当初威马的那个视频夸的多 6891652900 用户6891652900 宁夏
小米的第一台车，做的超过我的预期。[赞]希望小米汽车能成功。加油吧！ 62448883999 空调加风扇 海南
做为用过小米6.8.mix2s，红米K50，小米平板4.5得用户来说，最大的问题就是怕后面系统升级出现什么卡顿啊，电池一年后只能达到50%-60%左右啊。反正汽车这个东西不像手机，咱不可能说换就换。。。。。。。还要拿时间检验。特别智能电动车系统关乎生命。小米系统。。。。。。特别是新的 xiaomi hyper os,手机掉电贼快，WIFI信号也没有以前好。。。。嗯。。。。 4645466259 乌拉乌拉咧 四川
雷布斯没钱买萝卜？ 60027677359 昊吃狗 重庆
各种嫌弃 5868204616 lovebugs 福建
一句话总结啦，这车不值得购买. 2903179514881959 奋发有为铅笔Lp 河南
小米汽车颜值高，配置和性能都很高级，价格很合理，作为米粉值得入手一台属于自己的小米汽车！[祈祷] 74300373587 春天在哪里 内蒙古
有钱才有底气，才敢说[看] 3954360806 萤火虫骑士 福建
小米汽车颜值高，配置和性能都很高级，价格很合理，值得拥有 3474871509595902 奶酪棒 内蒙古
太智能不会用[捂脸][捂脸] 103181167146 张小敬 北京
感觉说的挺中肯的啊 2665667898114908 trex 湖北
长续航确实不错，车型也酷，确实不错。 104645424081 L刘氓兔 湖北
能开吗？ 4388885678528237 漫长加都之旅 四川
这车真不错，你不买，他不买，难道让我买[捂脸]开玩笑[大笑]谁知道4s店在哪？ 3146839433 66阿昌 陕西
拼配 冠名 1446612791726468 白胖谷老二 辽宁
很中肯啊 6914477797 PSN吖 广东
我真的不相信互联网造车能把底盘调教好！ 3158782185 superpower011220 马来西亚
太到位了 52281185208 号角lzh 浙江
反正是个杂牌子 59179495382 孝温 浙江
车身结构缺陷严重 1446612791726468 白胖谷老二 辽宁
感觉是没收钱，评论下来大多数是主观感受，这台车没有明显的短板，价格可以接受的话没什么毛病 6203574735 郭德钢盔 上海
几个汽车博主评测看下来，车的核心很一般，建议买顶配，数码博主的评测就把车说的还不错，但建议买入门版 6071319484 ywkame 浙江
说得很好，陈震说的很实在 4610327453 奋斗的小哥Andy 北京
这辆车实在太酷了，非常好看，太喜欢了，在回头率确实的高 4054651432614163 沐雪 江西
同时看过对M9的评测。虽然这次对SU7评测基本上都是说吐槽点，都是在个人的经验为基础来点评。有什么说什挺好的。但对比评测M9的评测就差远了，那边基本上都是说“哗噻”“你受得了吗”[捂脸]很明显吧[大笑]要注意点好@陈震同学 5781434738 鲜生MY 广东
说说给了多少啊 6631251902 为了梦想884 广东
都是些个性化的主观意见，个性化太强评车有失偏颇 3443276784339981 Mr达西先生 云南
我必须得说，小米汽车真的是一款非常不错的产品。它不仅拥有出色的性能和品质，还能让我们感受到科技与创新带来的便利性[祈祷] 110539411938 一切从零开开 湖北
这样看来小米的所谓人家车全生态也就那样，交互过于牵强。智能座舱还是不如华为的 56726377331 展1501 广东
 3736388842 Kris_Chan 广西
无边框设计，胎噪大也正常 5966276139 国杠1991 陕西
他对这车感觉一般，对m9评价还挺高的 3371582246889312 憨象 江苏
这你受得了吗？ 4142581288 Jarek34135848 江苏
 6127735778 三环路诗人 四川
秒杀特斯拉，，特斯拉落后了两个时代 3969210256 俺是井 河南
比较中肯，看了一个博主说低速后轮余震比较多，高速隔音一般 50798522652 新中有太阳 广东
看了出厂那个过减速带的视频就感觉这车偏运动，舒适型应该差一些 105149770807 SWF 四川
手机支架不挡视野？ 2968283324093991 zxymp5 广东
小米汽车外观好看，功能丰富，质量好，给小米点赞 197556289935699 海底世界Y 广东
期待小米的定价，高颜值，高品质 3592859576442311 猫咪不乖呢 四川
👏绝了绝了 3714936134 大可乐火罐 江苏
 3663986767169787 自由投资人 湖南
这台车不但亮丽，功能还全，为小米sU 7点赞[赞][赞][赞] 3272567516853959 欢快原野 黑龙江
片尾曲是什么歌？ 55012417605 一根胡子君 北京
这次评测很反常：1.不记数据，拿手机看数据的评测2.吐槽点比优点多，威马都没这个待遇3.小米SU7和G500对比还有其他的不说了，这次评测总之就是态度敷衍 86230845390 甲级战犯吆西 浙江
选其他轮胎会好点 50077653049 Tom173184990 浙江
专业的事还是得专业的人去做，，搞科技就研发点芯片啊，光刻机啊，搞好科技。 64114241390 一个人一种命o 广东
振哥非常中肯 5885797659 川渝美食记 重庆
小米汽车颜色好靓，试驾体验肯定很棒 2034553144485468 爱种花的眼镜妹 广东
看完知道这就不是一个舒适取向的车, 是年轻人的车,但价格,又不是年轻人的价格... , 门把手好评, 物理按键好评, 接口留白好评; 要再加一个静脉指纹锁, 加一个车载制氧机, 可以把座仓的氧浓度稳定在60%, 这样在车里就可以享受现在最新最时髦的氧疗, 这应该是豪华和穿越车型的又一大卖点, 尤其对去高海拨地区的朋友有吸引力. 而且, 对更注重健康和养生中年消费者来说, 这个氧仓的功能应该是其使用最多最得意的一项功能, 比什么彩电冰箱都更实用更重要. 每天在车里听着音乐吸上半小时氧, 应该是一天里最惬意的时光了... 2615094260012378 用户5527826222426 上海
现在他都进化到这种程度啦！ 5864422612 A00融通四海 广东
小米su7太给力了，预祝小米汽车大卖[祈祷] 110539411938 一切从零开开 湖北
这车的颜色太靓丽了，谁看见谁喜欢？买买买 3272567516853959 欢快原野 黑龙江
我觉得一键启动这个还是需要的，电车如果死机了需要重启还是需要物理按键的。 50499247409 直爽的小喃 福建
话里有话 5725227745 履带车 山西
小米3年造车，su7做的很成功，价格也很亲民[赞] 98312602952 喵喵小甜妞 浙江
保留物理按键的理由就是：我不是随时都想用语音操控，不想说话的时候就用按键，非常人性化的设计[微笑] 3334132205367512 恒指操盘手二哥 四川
小米汽车很不错哦超级爱哦永远支持小米汽车哦[比心][比心] 2088714877020893 乐观的鲸鱼 辽宁
听完了评价 看来这车还真的可以买[呲牙] 1868794469824380 菠菜营养 四川
底盘低 72241809935 坦荡的麻酱O 河北
震哥讲的细致，易懂 3923500155536800 用户7476651867044 广东
萝卜贵了 4048004618 他山之石32234990 印度尼西亚
胎噪比较有运动感，奔放，有存在感[大笑] 3157412331134807 努力的生活家Z 河南
🌻春暖花开好运到 3193444876429949 奥尔德 广东
评测很专业🤙 452590224279260 用户3435467713443 广西
很明显，陈震是以自己的视角去评车，小米是以普通消费者的视角去造车，就说那温度和风量的调节实体键，我个人是非常喜欢，简洁又高效，我开车一点都不喜欢语音控制，感觉嘴喊着累，而且后排经常有家人睡觉，我更不想语音操作空调吵醒家人，陈震同学毕竟是豪车一堆的人，普通人没法比 61308369851 马什么梅鸭 北京
你说的都是比较委婉的[大笑] 5368773599 快船队哈登 浙江
这你受得了吗？ 3727258776 川流不息24643023 福建
评测很专业🤙 452590224279260 用户3435467713443 广西
中肯 5784612855 頌扬中华 广东
说的非常好 5394341059 平底锅煎鱼 内蒙古
小米汽车发布会有惊喜，我们期待已久的小米汽车跟大家见面了，，雷总没有让大家失望！[祈祷] 74300373587 春天在哪里 福建
1、方向盘两个圆按键左右对称看起来是不好看，有点刻意区分保时捷的设计；2、车窗玻璃不是双层确实路噪大隔音不好；3、中央扶手水杯架旁边一排类似于换挡按键确实多余，功能性重复，设计很刻意；陈震的评价很客观啊，没觉得是诋毁小米，一个产品要经得起使用，虚心接受建议并改善方可走的长远。 22690946359 一刀入魂 河南
这个你知晓一下，那个你知晓一下。。。 4314864674 波波霸与霸波奔 四川
一针见血 104354394074 深漂电子哥 广东
支持雷军[加油][给力] 75230967307 爆式抽打 重庆
中肯[赞] 536160826310083 红鲤鱼Yu绿驴 北京
做人留一线，日后好相见。 1037538188593055 SX稻草人 浙江
🌹好花迎好运 87860541605 Nshould 广东
听说这个轮毂是雷总最喜欢的，我是很喜欢的，你们觉得呢 3131045318763918 徐鹰飞泥敌 广东
这车对于普通人还是很不错的，但是对于他来说，看过这么多车，肯定就没那么好了，毕竟曾经沧海[呲牙] 111313350018 SingDC 山东
特明显了[捂脸] 93170569526 约一夏 江西
？ 105145885838 虫儿虫儿虫儿 北京
省油吗👍 93981347092 嗯无线网 河南
国产支光，[赞][赞][赞][赞]赞到底[赞][赞]小米会越来越好。 93369644442 社會主义接班人 福建
雷布斯小气了，不够兴奋啊 3813384844 Forza.俊澔 广西
🌹好花迎好运 3903512321 阿金生活记 江苏
👏绝了绝了 102026877094 在困难的日子里前行 安徽
头头是道 8319234370 糖炒山栗子 浙江
🌹好花迎好运 4748309229 某件人员 河北
除了外观像保时捷之外，其实就是一款中规中矩的电动车 2924334784457564 峰回路转阿峰哥 江苏
评测很专业🤙 2994179993 IKY木易 湖南
等Redmi汽车 927594228496348 异乡房客 广东
对称确实不好看 103328796975 清明乐 广东
你说的就是科学，人家设计的就是不科学？ 93296388579 善良At12345 浙江
16.8亿模式呢[狗头] 3672090112 追童年灬 广东
花花花 3492905503 好你个浩 河南
🌸花开好运来 50880045465 三口一个馍 山东
就你中肯 51049806494 拈花不笑409 浙江
20万买奔驰c我理解 20万买x1 i3我理解 20万买台山寨保时捷被人问候 我图啥 我没那么高尚屏蔽别人疑问 3656661280 包包超人 广东
难为用了3年的小米产品 3713883619 言若到处逛 内蒙古
小米“字”研能力一直都很强！ 84286425150 倚傑 浙江
一针见血 5909941711 020大奎 广东
[祈祷][祈祷][祈祷] 3903512321 阿金生活记 江苏
明显有点不想给小米免费打广告的感觉！！[捂脸]可能有缺点，但是感觉小米是认真的，诚意满满！ 23105443715 最抚凡人心Zzz 浙江
不是跟小米闹翻了吗？ 96864957623 不吃辣的肖峰 湖北
🌺花赐好运气 4496680310 雨露麓秀 云南
主要是驾驶感受，能达到一半的保时捷驾驶感受吗？ 5246093491 寻龙夺宝记 山西
非常委婉 3911196931 陈露露cll 湖北
雷总真牛，小米汽车真是销售的太好了，发布会很成功，很给力 2861359255002939 开心的友爱蜻蜓 福建
沙发啊 34826520892232 热心鲸鱼pI 浙江
雷军：千万别有人拿我这车去跑滴滴啊[捂脸][捂脸]。定位很重要[呲牙][呲牙] 106627037410 古岚000 江苏
花而不实，组装车必然 7011183552 tianke9999 北京
他是华为系的！虽然谈小米还是再给问界加持[捂脸] 5808035663 大方的小方 广东
对于一个三年的车企，能做到这样已经不错了，智驾这块，华为是独一档，差价很大 54525434764 再多睡一分钟QAQ 浙江
不用这样吧？就说对比特斯拉model 3和保时捷 Taycan是不是领先？ 3496048377990179 爱猪的潜水羊 浙江
主打的就是一个智能现代化节能的环保汽车，外观那就根本不用说了，有目共睹的 2157697930378795 小松鼠 黑龙江
中肯的评价！雷军，小米虽然搞科技的！但是搞车后，所有车企都有的利弊想法都有了，不单纯了！ 66651291238 路过5708 上海
小米汽车，能有多好 53592147429 Bitchan 浙江
[呲牙] 107908229822 孔德校 上海
隔音真差 2175807514 chenjianwei117 广东
电车后面放个pad看，得晕死车 101963439749 Lucas爱生活 黑龙江
手机一架 自媒体的便利性网约车出发了 4177743555070030 热情的懦弱的傻子 上海
带着情绪 70806075874252 辅助都是爷 河北
“这个你知晓一下”“这个你不用操心了”，任务完成，那钱吃牛肉面不加面去。 2747079771 在黄河岸边 山西
你说的很多不合理的场景只是你的使用习惯而已，而小米生态系统这么设计的原因就是：不管你想不想用，有没有用，什么时候用，谁在用，哪怕你不用，但是它就一直存在，我就不会去想这个问题，不管我用不用，你得有[微笑] 3334132205367512 恒指操盘手二哥 四川
评测得很公正 小米汽车不值二十万就是了 1652815714 金鑫Joe 广东
你知晓下就可以了，已经说明一切[机智] 4409495661320684 屠龙少年，终变龙 广东
感觉这次是替你个人选车，不是替粉丝评车的角度 4388841409493453 lking78 广东
[祈祷] 2339359203802157 用户7497100069892 广东
实话实说而已！小米对手那么多 53332302806 幼儿园老爷 四川
哑巴怎么办 语音都不能用 60563146971 老楊簰 上海
方向盘太丑，实体按键多余 55971864460 David148490985 山东
车整体不错。为啥不给双层玻璃和流媒体后视镜，不理解…… 20831491231 和饼干赛跑 北京
体验一级棒🤙 20126770270 DanielHe525 北京
小米对汽车智能化的理解果然是非同一般[捂脸][捂脸][捂脸] 108695258001 草原茂业只卖布病牛 陕西
震哥都是跟保时捷和大G对比稍微有失偏颇，应该搞一个跟毛豆3，极氪007，汉的对比 62260506710 燃烧的高 北京
还是震哥实话实说 屏幕旁边的组件确实山寨 3775225823 DJIFIy 云南
说的很客观 100716411855 天空之城46953 浙江
作为资深米粉，震哥这是对SU7有太高的期待了啊 5965448548 主播离歌 黑龙江
“你们知晓就可以了”起码说了七八遍 不作评价的意思？ 9945790900 红羽尊蓝 江苏
你不是小米的粉丝吗，用的小米手机？[呲牙] 83790656302 馍界 山东
我还记得他当年喷byd混动，狂赞普锐斯的那段时光。。。。 135933629045527 风间仁1593 山东
车子那么矮呢，还是人高 2282192770182237 贺州佳通蒋家斌 广西
整体的软件和硬件的适配，差评。。许多厂家都比小米做的好多了，小米这辆显得好低级啊[捂脸][捂脸] 52287589705 西门儿吹牛8866 沙特阿拉伯
喜欢陈震的人设！说自己实际感受！有个性！牛B 51948874911 Joseph隽 广东
这后排还是算了吧 518622252377416 子北的春天 广东
对，运动 104244852088 数学班的Kevin 河南
看来小米这款车不错，缺点全兜出来也就这些了，短板还是很少的[大笑] 98764303315 UsernameNotFound 湖北
万一刹车坏了呢？启动键不就成了唯一了吗[呲牙] 4423764952 路人ray 北京
安全气囊多少个，发布会没说吧 3600277042629571 淡泊的香瓜 河北
这中控屏是真难看 82708114074 Serendipity0166 上海
什么时候能等到18手的小米su7[呲牙] 3299424413 SUMMER 山东
人家没说什么难听的呀 5476742780 醉了醉了了 安徽
身边小米前圈层运营员工，我猜是市场部seeding震哥，只送一台车，但是发布会后价值远低于之前说的价格，而且不是顶配。胡乱猜测哈 18017213177 Kid160074225 上海
能不能体验一下16.8亿种驾驶模式[呲牙] 2498502871231648 风度翩翩的馨爸 辽宁
二十几万的车，可以了。多支持一下 2801173285321198 热情暖阳vgA 湖北
小米汽车，我真的很期待！希望它能成为未来出行的一个好选择。 3233016582779727 灵敏阳光 重庆
陈老师比较客观[赞] 993592048370695 MM载歌去远行 山东
关键看他买不买，车评人一向是你买我推荐， 70510470689 金卡是我的 浙江
说真的，如果你看到一些车评人一顿猛夸那种，绝对不要看，绝对是被充值了！如果有一些说问题多的，那么请你仔细看看，并且去试驾试乘，往往会对你更有用。 2919915085369375 慕士塔格牧羊人 广东
小米汽车有八个涂层 4011488004544973 用户5192780027452 浙江
我的情绪这么明显，这你受得了吗 3440487792 醉酒小米 北京
小米只给了手机钱[大笑] 101825055784 风萧萧兮0617 广东
这里面不是电机吧好像说是充气的，里面是气囊。 4321522939348587 共田 上海
看完，给少了。 6325710908 孙悟空派来的夏天 广西
这次小米是真没充值啊！ 52312383994 噗噗通通 湖北
凑合开吧！做手机的做汽车不就是花里胡哨吗[大笑] 2238242845362148 博学风筝NB 北京
没有座椅按摩可惜了 3328939513364263 我确实不是吴彦祖 内蒙古
这车有几个很大的问题，1头部空间太差，2后排的坐姿几乎要用狼狈来形容了，腿部没有承托3最严重的是为了空间开了大量的异形模，后期公差异响应该会爆炸 52236868475 聪明青山PTK 江苏
加速和极速都挺狠的，不知道能保持多久？ 2852591835815648 直率溪水yJ 浙江
这后视镜碰一下，是不是就得更换，还是传统后视镜好！ 5991017130 一往无前988 陕西
汽车上物理按键是最需要保留东西，还有就是车窗要是保有手动开启的模式是最好，把所有功能都集中在屏幕上是最不安全的 5503332132 风中沙 湖北
说的很好 99891085336 时传祥接班人 山东
哈哈哈哈哈哈哈，被震哥逗笑了[比心][比心][比心][比心][比心][比心][比心] 3728244068 Maverick 四川
20万。。。这车对于普通百姓很可以，颜值够有面，续航够足，智驾够好，足够了 17769698091 积木李丶 陕西
卖的真是太便宜了 518558360550936 热心饺子E2h 北京
感觉空间确实不大 50287321961 kevinbaba 上海
现在也就看看你出差了，与往常车评相比，太针对了 109457100804 和小巍一起读书看剧 江西
哈哈 震哥这个视频明显是吃了不要面的牛肉面的早餐拍的 3896265783128600 瑜丹东 辽宁
上亿的驾驶模式 108819256211 好学怼回去 福建
总结一下，说白了这车开起来和坐起来感觉就是硬，不舒服，空间也是中规中矩，车机系统一般 3032208001 执着的漂流瓶c 四川
评价到位 不是按照传统车企生产的汽车去评价 而且按照新势力车型去评价 的确要升级的或者调整的东西更多 毕竟小米口号为用户而生 所以为用户调整也是正确 5238724923 BiRdYChow 广东
后座小板凳，太矮了 52925410544 清闲的溪水Cd 四川
我不是米粉，也不会买这台车。但昨晚确实看了发布会，视频看到一半我感觉雷军给陈震的充值一定没满足他[灵光一闪][看] 4209359052090247 阿木文旅 湖北
已经充了值，必须得赞一下，但是，实在不知道从哪下口，因为真的太一般。。。震难啊！ 5429567030 零下273的星尘 广东
哎呀，你受得了吗 99891085336 时传祥接班人 山东
说真的我觉得你们都太小看震哥了；这次小米营销这么炸裂，你要是再接着吹那就没流量了，反正小米需要的也是曝光，震哥这么一说流量拉满，双赢！ 101537016920 爱生活的Bean 上海
听说不是谈崩了了嘛[捂脸] 51629670899 makeyoumine 山东
小米汽车正式发布，真的很佩服雷军！首先，这次发布会非常成功，继续加油。 4160992260922396 栀忆 重庆
只给了800听说 2225061249155175 执着的花猫pR 山东
解说的很到位 。颜色确实骚气 ，还是很不错的 104610100958 榆钱儿花 四川
这才是真实评测 8448042804 回忆与我都不爱说话 贵州
说白了，对于大多数想买小米su7的人来说，买它就像当年买众泰卡宴，只不过小米稍微有点档次品牌效应。 87603312936 我不是专家 江西
哈哈，外观惊艳，颜色好靓，回头率百分百，爱了 185139862442720 优雅生活家Fxq 四川
说的已经很委婉了，就是车子隔音做的不咋滴 4222599547073550 米开朗基罗的星球 四川
中规中矩，说的比较贴切，没有情绪化 1380629708301392 敏锐清泉d6 河北
小米汽车颜值美翻天了。内在又很豪华价格还这么给力。这让我们很惊喜，希望上市大卖。 3580487643700013 米兰 安徽
震哥，买了游艇⛵，看不上小米了 20126770270 DanielHe525 北京
相信小米汽车会让每一位用户享受到科技的乐趣和美好的生活 2331422571370868 梦幻白云UOK 广东
这个背景音听着听着想关掉视频。。 3259235809 顶级星球LA 湖北
给你一说，价值马上丢了9万了 58648204304 沙沙的雨2 广东
造车时候没也不向震哥咨询一下 4111762127 谁家餒小谁 北京
这个评测不中肯，那几个物理按键还是很重要的 53134389600 小凡瞰世界 浙江
你可能是开着车，指挥小爱，开车不能看手机，手机屏幕小，喜欢用手机你就用手机，车上能控制不算毛病。 857237607416375 物业都是沙Dao 北京
有没有一种可能有些摄像头它会自动上传到特定服务器去。 51069982717 小圣贤庄爱追剧 广西
智能化给足了现在人们的出行使用，科技感满满 1538972112139752 迷恋直播 浙江
震哥，你开的好车多了去了。要求不用太苛刻[狗头] 119216114763678 牛说 河南
屏蔽和减少小米内容也没用，四五天必给你推一条 51445498539 50年退休老干部 山东
为什么老是有喇叭声 6170124822 藍澀雨兲 上海
这个车完成度百分之几 76139022167 弯道超车86 重庆
雷总终于让我们看到了一款全智能高科技的电车。[比心] 43573921453982 欢快明月 湖北
你就说值不值这个价 73993559310 顺风顺水囍囍囍 内蒙古
客观，还得震哥 3349995251 北羽異 河北
小米 su7 真漂亮！国产车现在真是越来越好了！[赞] 433657342343364 麦小姐 重庆
 3857974781 达芬奇小助手 吉林
很好啊，这个小米，续航700多公里，颜值这么高，我是很喜欢的 2557877473771899 飞扬漫心 四川
